# CS2 抽奖模拟器 · 游戏大题库
# 格式：分类|题干|选项A|选项B|选项C|选项D|正确序号(0-3)|解析
# 以 # 开头的行会被忽略；每行一道题；字段内不可含竖线。

东方Project|东方 Project 中，红魔馆的门卫是？|红美铃|十六夜咲夜|小恶魔|帕秋莉|0|红美铃是红魔馆的门卫，以武术战斗。
东方Project|东方 Project 中，红魔馆地下图书馆的管理者是谁？|帕秋莉·诺蕾姬|爱丽丝|十六夜咲夜|小恶魔|0|帕秋莉·诺蕾姬被称为「不动的大图书馆」。
东方Project|东方 Project 中，拥有「操纵时间」能力的红魔馆女仆长是人类吗？|是人类|是吸血鬼|是妖怪|是妖精|0|十六夜咲夜是红魔馆中唯一的人类，其余成员多为妖怪或吸血鬼。
东方Project|《东方妖妖梦》的最终首领（六面 BOSS）是？|西行寺幽幽子|八云紫|蕾米莉亚|八意永琳|0|西行寺幽幽子是《东方妖妖梦》的最终首领，身处白玉楼。
东方Project|《东方永夜抄》中，来自月之都的公主是谁？|蓬莱山辉夜|八意永琳|绵月丰姬|铃仙|0|蓬莱山辉夜是月之都的公主，因罪被流放到地上，居住在永远亭。
东方Project|《东方永夜抄》中，辉夜的随从、被称为「月之头脑」的是？|八意永琳|八云紫|上白泽慧音|藤原妹红|0|八意永琳是月之贤者，知识渊博，被视为「月之头脑」。
东方Project|东方 Project 中，居住在永远亭的月兔是？|铃仙·优昙华院·因幡|因幡帝|稀神探女|铃瑚|0|铃仙是永远亭的月兔，拥有操纵疯狂（波长）的能力。
东方Project|东方 Project 中，住在永远亭、拥有不死之身的人类是？|藤原妹红|上白泽慧音|铃仙|蓬莱山辉夜|0|藤原妹红因服下蓬莱之药而获得不死之身。
东方Project|《东方风神录》中，守矢神社的巫女是谁？|东风谷早苗|博丽灵梦|洩矢诹访子|八坂神奈子|0|东风谷早苗是守矢神社的巫女，拥有引发奇迹程度的能力。
东方Project|《东方风神录》中，守矢神社供奉的神明之一是？|八坂神奈子|天照大御神|伊邪那岐|须佐之男|0|八坂神奈子与洩矢诹访子是守矢神社供奉的两位神明。
东方Project|东方 Project 中，守矢神社迁入幻想乡是在哪一作？|《东方风神录》|《东方妖妖梦》|《东方永夜抄》|《东方红魔乡》|0|《东方风神录》讲述守矢神社从外界迁入幻想乡的过程。
东方Project|东方 Project 中，被称作「冰之妖精」、常被塑造成笨蛋形象的角色是？|琪露诺|露米娅|大妖精|莉莉白|0|琪露诺是冰之妖精，因粉丝文化常被塑造成「笨蛋」形象。
东方Project|东方 Project 中，管理幻想乡人类村落的半人半兽是谁？|上白泽慧音|八云蓝|橙|藤原妹红|0|上白泽慧音是半白泽，在人类村落担任教师，能操纵历史。
东方Project|《东方地灵殿》的主角是？|古明地觉|古明地恋|火焰猫燐|灵乌路空|0|古明地觉是地灵殿的主人，拥有读心能力。
东方Project|东方 Project 中，古明地觉的妹妹、能够操纵无意识的是？|古明地恋|火焰猫燐|灵乌路空|古明地觉|0|古明地恋封闭了第三只眼，因而获得操纵无意识的能力。
东方Project|《东方星莲船》的最终首领是？|圣白莲|丰聪耳神子|村纱水蜜|寅丸星|0|圣白莲是《东方星莲船》的最终首领，命莲寺的住持。
东方Project|《东方神灵庙》的最终首领、以圣德太子为原型的是？|丰聪耳神子|圣白莲|物部布都|苏我屠自古|0|丰聪耳神子以圣德太子为原型，是《东方神灵庙》的最终首领。
东方Project|《东方辉针城》中，故事的起因与什么有关？|道具开始拥有意识（付丧神）|月亮爆炸|海水枯竭|花朵不再开放|0|本作中道具化为付丧神作乱，主角们前往辉针城解决异变。
东方Project|《东方花映塚》的主题与什么有关？|花的异变|雪的异变|雾的异变|夜的异变|0|本作以「花」为主题，出现大量花朵异常盛开的异变。
东方Project|《东方绯想天》中，引发地震与天气异变的是？|比那名居天子|永江衣玖|伊吹萃香|八云紫|0|比那名居天子是《东方绯想天》的核心角色，来自天界。
东方Project|东方 Project 中，「骚灵三姐妹」指的是？|普莉兹姆利巴三姐妹|斯卡雷特姐妹|古明地姐妹|秘封俱乐部|0|普莉兹姆利巴三姐妹（露娜萨、梅露兰、莉莉卡）合称骚灵三姐妹。
东方Project|东方 Project 中，与八云紫同为妖怪贤者、喜欢喝酒的鬼是？|伊吹萃香|星熊勇仪|茨木华扇|风见幽香|0|伊吹萃香是鬼族，能操纵密度，性格豪爽爱酒。
东方Project|《东方鬼形兽》中，主角们前往的是哪个世界？|动物灵的世界（畜生界）|月之都|梦幻馆|冥界|0|本作以动物灵与畜生界为舞台。
东方Project|《东方虹龙洞》中，主角收集的主要道具是？|能力卡|符卡|神器|硬币|0|本作加入「能力卡」系统，玩家装备卡片获得不同效果。
东方Project|《东方天空璋》的主题与什么季节相关？|夏季|冬季|秋季|春季|0|本作以夏天为背景，出现四季混乱的异变。
东方Project|《东方绀珠传》中，故事围绕什么展开？|月面战争与纯狐|花的异变|地震异变|道具付丧神化|0|本作涉及月之都与纯狐相关的事件，难度以高著称。
东方Project|东方 Project 中，住在魔法森林的人偶使是谁？|爱丽丝·玛格特罗伊德|帕秋莉·诺蕾姬|雾雨魔理沙|芙兰朵露|0|爱丽丝是使用人偶的魔法使，居住在魔法森林。
东方Project|东方 Project 中，被称为「妖怪之山」的是哪里？|妖怪们聚居的山|月球|地狱|冥界|0|妖怪之山是妖怪聚居之地，山上还有守矢神社与天狗社会。
东方Project|东方 Project 中，天狗社会中负责报道新闻的是？|射命丸文|犬走椛|东风谷早苗|八坂神奈子|0|射命丸文是鸦天狗，经营报纸《文文。新闻》。
东方Project|东方 Project 中，「秘封俱乐部」的成员是？|宇佐见莲子与玛艾露贝莉·赫恩|灵梦与魔理沙|咲夜与美铃|紫与蓝|0|秘封俱乐部是发生在近未来的外传系列，成员为莲子与梅莉。
东方Project|东方 Project 中，被称为「花妖」、居住在太阳花田的是？|风见幽香|莉格露|露米娅|爱丽丝|0|风见幽香是强大的花妖，居住在太阳花田。
东方Project|东方 Project 中，「三月精」指的是哪三位妖精？|桑尼、露娜、斯塔|琪露诺、大妖精、莉莉白|露米娅、琪露诺、橙|紫、蓝、橙|0|光之三妖精桑尼·米尔克、露娜·切尔德、斯塔·萨菲雅合称三月精。
东方Project|《东方儚月抄》属于东方 Project 的哪类作品？|官方漫画与小说|游戏正作|音乐专辑|电视动画|0|《东方儚月抄》是官方漫画与小说系列，补充了月之都相关的剧情。
东方Project|东方 Project 中，博丽神社供奉的神明情况是？|没有明确供奉的神明|供奉天照大神|供奉八坂神奈子|供奉月读命|0|博丽神社虽为神社，但作品中并未明确其供奉的神明。
东方Project|东方 Project 中，红魔馆的吸血鬼主人与她的妹妹合称为什么？|斯卡雷特姐妹|普莉兹姆利巴姐妹|古明地姐妹|博丽姐妹|0|蕾米莉亚与芙兰朵露·斯卡雷特是姐妹，同为红魔馆的吸血鬼。
蔚蓝档案|《蔚蓝档案》中，玩家扮演的角色身份是？|老师（Sensei）|学生会长|校长|记者|0|玩家以「老师」的身份在基沃托斯指导学生解决问题。
蔚蓝档案|《蔚蓝档案》的故事主要发生在哪座城市？|基沃托斯|学园都市|米花町|幻想乡|0|基沃托斯是由众多学园构成的自治都市，是故事的舞台。
蔚蓝档案|《蔚蓝档案》中，负责统括基沃托斯的最高机构是？|联邦学生会|风纪委员会|茶话会|补习部|0|联邦学生会是基沃托斯的统括机构，故事常围绕其展开。
蔚蓝档案|《蔚蓝档案》中，老师所属的组织是？|夏莱（Schale）|联邦学生会|风纪委员会|对策委员会|0|夏莱是老师所属的联邦搜查社团，负责处理各类委托。
蔚蓝档案|《蔚蓝档案》中，老师与学生之间的关系基调是？|引导与守护|上下级命令|竞争对手|互不干涉|0|故事强调老师作为引导者守护学生成长。
蔚蓝档案|《蔚蓝档案》中，下列哪一项是该作显著的设定特点？|学生大多随身携带枪械|没有任何战斗|全员都是机器人|以魔法为主要战斗手段|0|基沃托斯的学生普遍持有并使用枪械，是作品的标志性设定。
蔚蓝档案|《蔚蓝档案》中，学生被击中后的一般表现是？|会晕倒但通常不致命|立即退场|会变成敌人|完全不受影响|0|基沃托斯的学生体质特殊，中弹多为晕倒。
蔚蓝档案|《蔚蓝档案》中，阿拜多斯高中的学生共有几人？|5 人|3 人|7 人|10 人|0|阿拜多斯对策委员会由 5 名学生组成，是游戏初期的核心团队。
蔚蓝档案|《蔚蓝档案》中，阿拜多斯高中的现状是？|负债累累、濒临废校|最富有的学园|刚刚成立|已被拆除|0|阿拜多斯因沙漠化与债务问题濒临废校。
蔚蓝档案|《蔚蓝档案》中，「对策委员会」最初是为解决什么问题而成立？|阿拜多斯的债务与废校危机|寻找宝藏|参加比赛|调查失踪案|0|对策委员会为挽救濒临废校的阿拜多斯而行动。
蔚蓝档案|《蔚蓝档案》中，小鸟游星野属于哪个学园？|阿拜多斯高中|千年科学学园|格黑娜学园|三一综合学园|0|小鸟游星野是阿拜多斯对策委员会的成员。
蔚蓝档案|《蔚蓝档案》中，砂狼白子所属的学园是？|阿拜多斯高中|千年科学学园|格黑娜学园|百鬼夜行联合学园|0|砂狼白子是阿拜多斯对策委员会的成员。
蔚蓝档案|《蔚蓝档案》中，砂狼白子的性格特征是？|冷静理性、常提出极端方案|胆怯内向|极度开朗|沉默寡言|0|白子冷静且行动力强，常提出直接了当甚至过激的方案。
蔚蓝档案|《蔚蓝档案》中，奥空心奈的性格特点是？|慵懒、爱睡觉|极度严格|沉默寡言|狂热好战|0|奥空心奈平时懒散爱睡，但在关键时刻十分可靠。
蔚蓝档案|《蔚蓝档案》中，下列哪一位是阿拜多斯的学生？|奥空心奈|空崎日奈|圣园未花|天雨亚子|0|奥空心奈是阿拜多斯对策委员会的成员。
蔚蓝档案|《蔚蓝档案》中，千年科学学园的特点是？|重视科技与研究|以武力著称|以宗教为核心|专攻艺术|0|千年科学学园以科学技术见长，拥有各种研究社团。
蔚蓝档案|《蔚蓝档案》中，「游戏开发部」属于哪个学园？|千年科学学园|阿拜多斯高中|格黑娜学园|山海经高级中学|0|千年科学学园的游戏开发部由才羽桃井、才羽绿等成员组成。
蔚蓝档案|《蔚蓝档案》中，才羽桃井与才羽绿的关系是？|双胞胎姐妹|师徒|竞争对手|素不相识|0|才羽桃井与才羽绿是双胞胎姐妹，同属游戏开发部。
蔚蓝档案|《蔚蓝档案》中，下列哪位角色与「游戏开发部」相关？|才羽绿|砂狼白子|空崎日奈|圣园未花|0|才羽绿是千年科学学园游戏开发部的成员。
蔚蓝档案|《蔚蓝档案》中，才羽桃井在游戏开发部中的定位偏向？|负责程序与统筹|只负责绘画|只负责音乐|负责对外交涉|0|才羽桃井偏向技术与统筹，与妹妹绿分工合作。
蔚蓝档案|《蔚蓝档案》中，下列哪位是千年科学学园的学生？|早濑优香|砂狼白子|圣园未花|空崎日奈|0|早濑优香是千年科学学园的学生，擅长计算与统筹。
蔚蓝档案|《蔚蓝档案》中，格黑娜学园的整体风格偏向？|自由奔放、火力至上|严守纪律|崇尚艺术|以商业为主|0|格黑娜学园风格狂野，风纪委员会常为此头疼。
蔚蓝档案|《蔚蓝档案》中，格黑娜学园风纪委员会的委员长是？|空崎日奈|小鸟游星野|圣园未花|天雨亚子|0|空崎日奈是格黑娜风纪委员会委员长，以强大与可靠著称。
蔚蓝档案|《蔚蓝档案》中，下列哪个学园以「风纪委员会」闻名？|格黑娜学园|阿拜多斯高中|山海经高级中学|红冬联邦学园|0|格黑娜学园的风纪委员会因维持秩序而知名。
蔚蓝档案|《蔚蓝档案》中，天雨亚子属于哪个学园？|格黑娜学园|三一综合学园|千年科学学园|阿拜多斯高中|0|天雨亚子是格黑娜学园的学生，风纪委员会成员。
蔚蓝档案|《蔚蓝档案》中，「便利屋 68」属于哪个学园？|格黑娜学园|千年科学学园|三一综合学园|阿拜多斯高中|0|便利屋 68 是格黑娜学园的学生组织。
蔚蓝档案|《蔚蓝档案》中，三一综合学园的特点是？|历史悠久的宗教系学园|以科技为主|沙漠中的学园|纯军事学园|0|三一综合学园具有宗教色彩，设有茶话会等组织。
蔚蓝档案|《蔚蓝档案》中，「茶话会」属于哪个学园？|三一综合学园|千年科学学园|格黑娜学园|阿拜多斯高中|0|茶话会是三一综合学园的学生组织。
蔚蓝档案|《蔚蓝档案》中，圣园未花属于哪个学园？|三一综合学园|格黑娜学园|千年科学学园|红冬联邦学园|0|圣园未花是三一综合学园的学生，茶话会成员。
蔚蓝档案|《蔚蓝档案》中，「补习部」属于哪个学园？|三一综合学园|格黑娜学园|千年科学学园|阿拜多斯高中|0|补习部是三一综合学园的组织，帮助学习困难的学生。
蔚蓝档案|《蔚蓝档案》中，阿里乌斯分校与哪个学园关系密切？|三一综合学园|格黑娜学园|千年科学学园|阿拜多斯高中|0|阿里乌斯分校与三一综合学园有深厚的渊源与矛盾。
蔚蓝档案|《蔚蓝档案》中，百鬼夜行联合学园的风格接近？|日式传统与妖怪文化|欧美风格|沙漠风格|科技都市|0|百鬼夜行联合学园融入日式传统与妖怪元素。
蔚蓝档案|《蔚蓝档案》中，山海经高级中学的设定偏向？|中华风格|北欧风格|印度风格|埃及风格|0|山海经高级中学以中华文化为设计基调。
蔚蓝档案|《蔚蓝档案》中，红冬联邦学园的设定偏向？|寒冷地带的联邦制学园|热带海岛|沙漠绿洲|太空站|0|红冬联邦学园位于寒冷地区，组织上带有联邦色彩。
蔚蓝档案|《蔚蓝档案》中，SRT 特殊学园的特点是？|培养专业战斗人员|专攻音乐|以农业为主|研究历史|0|SRT 特殊学园以培养高战斗力人员为目标。
蔚蓝档案|《蔚蓝档案》中，下列哪个是游戏中真实存在的学园？|千年科学学园|冬木学园|总武高中|秀知院学园|0|千年科学学园是基沃托斯的主要学园之一。
